Channel,SellerName,OrInterestRate,OrUnpaidPrinc,OrLoanTerm,OrLTV,OrCLTV,NumBorrow,DTIRat,CreditScore,FTHomeBuyer,LoanPurpose,PropertyType,NumUnits,OccStatus,PropertyState,Zip,RelMortInd,OrDateMonth,OrDateYear,FirstPaymentMonth,FirstPaymentYear
R,"BANK OF AMERICA, N.A.",6.25,60000,360,66,66.0,1.0,36.0,623.0,N,C,SF,1,P,WA,988,N,11,2007,1,2008
R,OTHER,6.75,169000,360,75,75.0,2.0,29.0,576.0,N,C,SF,1,P,VT,54,N,11,2007,1,2008
R,"GMAC MORTGAGE, LLC",6.625,400000,360,70,70.0,1.0,57.0,772.0,N,P,CO,1,S,HI,968,N,9,2007,11,2007
B,"BANK OF AMERICA, N.A.",6.625,203000,300,89,89.0,1.0,47.0,762.0,N,C,SF,1,P,RI,28,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",7.375,79000,360,90,90.0,2.0,40.0,703.0,N,R,SF,1,I,NC,274,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",7.75,41000,360,63,63.0,1.0,53.0,762.0,Y,P,CO,1,P,FL,337,N,6,2007,8,2007
R,"CHASE HOME FINANCE, LLC",6.625,95000,360,29,29.0,2.0,31.0,712.0,N,P,PU,1,P,FL,327,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.25,364000,360,51,51.0,2.0,29.0,656.0,N,C,SF,1,P,IL,601,N,10,2007,12,2007
B,"BANK OF AMERICA, N.A.",6.25,200000,360,89,89.0,1.0,16.0,780.0,N,P,SF,1,S,NM,883,N,9,2007,11,2007
B,"CITIMORTGAGE, INC.",6.625,70000,360,61,61.0,1.0,38.0,640.0,N,C,SF,1,I,MI,482,N,11,2007,1,2008
C,"WELLS FARGO BANK, N.A.",6.5,176000,360,80,80.0,1.0,41.0,654.0,N,C,SF,1,P,OR,973,N,8,2007,10,2007
B,"CHASE HOME FINANCE, LLC",6.25,417000,360,66,72.0,2.0,38.670606328740575,734.0,N,C,SF,1,P,FL,347,N,10,2007,12,2007
C,"PNC BANK, N.A.",6.5,85000,360,50,50.0,1.0,35.0,803.0,N,P,PU,1,P,NC,282,N,8,2007,9,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.875,72000,360,90,90.0,1.0,7.0,765.0,N,P,SF,1,I,PA,181,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",7.75,210000,360,60,60.0,2.0,34.0,790.0,N,C,SF,1,P,CA,917,N,11,2007,1,2008
B,FLAGSTAR CAPITAL MARKETS CORPORATION,6.375,292000,360,82,82.0,2.0,39.0,714.0,N,R,SF,1,P,WY,826,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.125,260000,360,77,77.0,2.0,35.0,739.0,N,C,SF,1,P,WA,980,N,11,2007,1,2008
R,"PNC BANK, N.A.",6.5,202000,360,61,61.0,2.0,35.0,740.0,N,C,PU,1,P,MD,206,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.5,104000,240,60,60.0,1.0,28.0,612.0,N,C,PU,1,P,NC,282,N,10,2007,12,2007
C,OTHER,6.5,105000,360,80,95.0,1.0,41.0,805.0,N,P,PU,1,S,TX,770,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.75,258000,360,80,95.0,2.0,45.0,696.0,Y,P,PU,1,P,CO,806,N,9,2007,11,2007
R,OTHER,6.5,200000,360,87,87.0,2.0,37.0,685.0,N,C,SF,1,P,AZ,853,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.25,412000,360,95,95.0,1.0,38.670606328740575,741.0,N,P,PU,1,P,VA,229,N,11,2007,1,2008
R,OTHER,6.375,176000,360,46,46.0,2.0,52.0,800.0,N,P,PU,1,P,AZ,852,N,11,2007,1,2008
R,OTHER,6.25,100000,360,91,91.0,2.0,46.0,731.0,N,P,SF,1,P,TX,799,N,11,2007,1,2008
B,"WELLS FARGO BANK, N.A.",6.25,248000,360,90,90.0,2.0,46.0,725.0,Y,P,SF,1,P,CO,802,N,10,2007,12,2007
C,"GMAC MORTGAGE, LLC",6.25,130000,360,80,90.0,1.0,41.0,738.0,N,R,SF,1,P,OH,443,N,11,2007,12,2007
R,"PNC BANK, N.A.",6.25,404000,240,80,80.0,2.0,43.0,712.0,N,R,SF,1,S,IN,467,N,10,2007,12,2007
B,"PNC BANK, N.A.",6.5,280000,360,49,49.0,2.0,34.0,811.0,N,C,SF,1,P,CA,928,N,10,2007,12,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,300000,180,71,71.0,2.0,16.0,769.0,N,C,SF,1,P,MI,483,N,8,2007,10,2007
B,"PNC BANK, N.A.",6.5,356000,360,90,90.0,2.0,59.0,775.0,N,C,SF,1,P,OH,458,N,11,2007,1,2008
C,"WELLS FARGO BANK, N.A.",6.5,417000,360,63,63.0,1.0,50.0,813.0,N,C,SF,1,P,MA,24,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",6.375,257000,360,77,77.0,1.0,40.0,772.0,N,R,SF,1,P,UT,840,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.25,236000,360,90,90.0,1.0,43.0,707.0,N,C,SF,1,P,MA,15,N,12,2007,2,2008
C,"WELLS FARGO BANK, N.A.",6.25,346000,360,80,80.0,2.0,55.0,720.0,Y,P,SF,1,P,CA,917,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.375,113000,360,87,87.0,1.0,48.0,706.0,N,R,SF,1,P,KY,420,N,10,2007,12,2007
R,OTHER,7.875,98000,360,80,80.0,1.0,59.0,715.0,N,C,SF,1,I,OK,731,N,9,2007,11,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,188000,360,80,80.0,1.0,34.0,723.0,N,P,CP,1,P,NY,106,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.75,104000,360,80,80.0,2.0,10.0,610.0,N,C,SF,1,P,KY,410,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.5,72000,360,58,58.0,1.0,27.0,789.0,N,C,SF,1,P,TX,786,N,12,2007,2,2008
R,SUNTRUST MORTGAGE INC.,7.0,100000,360,89,89.0,2.0,31.0,726.0,N,R,PU,1,I,NC,282,N,8,2007,10,2007
R,OTHER,6.625,128000,360,75,75.0,2.0,42.0,649.0,N,C,SF,1,I,LA,704,N,11,2007,1,2008
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,200000,360,80,80.0,2.0,28.0,782.0,N,C,SF,1,P,IL,609,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.875,188000,360,92,92.0,2.0,24.0,684.0,N,R,SF,1,P,TX,773,N,9,2007,11,2007
R,OTHER,6.25,190000,360,75,75.0,1.0,44.0,635.0,N,C,SF,1,P,NY,119,N,12,2007,2,2008
R,"PNC BANK, N.A.",6.875,132000,360,80,80.0,2.0,32.0,741.0,N,R,SF,1,P,IL,617,N,9,2007,11,2007
B,"BANK OF AMERICA, N.A.",6.625,149000,240,63,63.0,1.0,60.0,668.0,N,C,MH,1,P,IN,467,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.0,200000,360,68,68.0,1.0,25.0,789.0,N,C,SF,1,S,CA,960,N,12,2007,2,2008
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,61000,240,52,52.0,2.0,14.0,779.0,N,C,SF,1,P,SC,290,N,10,2007,12,2007
R,OTHER,6.35,102000,360,84,84.0,2.0,28.0,670.0,N,P,SF,1,P,OH,437,N,9,2007,11,2007
B,"GMAC MORTGAGE, LLC",6.125,288000,360,80,80.0,2.0,60.0,772.0,N,C,SF,1,P,CO,801,N,11,2007,1,2008
R,"PNC BANK, N.A.",7.0,77000,360,75,90.0,1.0,40.0,721.0,N,P,SF,1,I,KY,423,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.75,193000,360,78,78.0,1.0,47.0,673.0,N,C,SF,1,P,RI,29,N,9,2007,11,2007
B,"WELLS FARGO BANK, N.A.",6.0,315000,360,74,74.0,2.0,64.0,690.0,N,R,PU,1,P,NC,275,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",7.375,90000,360,80,80.0,1.0,14.0,663.0,N,C,SF,1,P,TX,760,N,11,2007,1,2008
C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.375,186000,360,91,91.0,1.0,58.0,738.0,N,R,SF,1,P,OK,730,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.5,108000,360,80,80.0,2.0,47.0,715.0,N,P,SF,1,I,VT,54,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.625,272000,360,55,55.0,1.0,39.0,656.0,N,P,PU,1,P,NC,275,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.5,201000,360,94,94.0,1.0,48.0,721.0,N,R,SF,1,P,NM,873,N,10,2007,12,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,170000,180,54,54.0,2.0,39.0,808.0,N,R,SF,1,P,MO,644,N,8,2007,10,2007
B,SUNTRUST MORTGAGE INC.,7.25,168000,360,70,70.0,1.0,43.0,728.0,N,C,SF,1,I,VA,232,N,10,2007,12,2007
B,OTHER,7.75,92000,360,72,72.0,1.0,38.670606328740575,751.0,N,C,SF,1,I,FL,325,N,11,2007,1,2008
B,AMTRUST BANK,6.125,179000,360,65,65.0,1.0,22.0,653.0,N,C,SF,1,P,CA,937,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.625,21000,180,95,95.0,2.0,37.0,676.0,N,P,SF,1,S,OK,737,N,4,2007,6,2007
C,"BANK OF AMERICA, N.A.",6.625,93000,360,80,80.0,2.0,63.0,752.0,N,P,PU,1,I,GA,313,N,8,2007,10,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.375,245000,360,65,65.0,2.0,58.0,715.0,N,R,PU,1,P,FL,321,N,10,2007,12,2007
B,"CITIMORTGAGE, INC.",7.5,117000,360,90,90.0,1.0,42.0,590.0,N,P,PU,1,I,KS,672,N,10,2007,12,2007
C,FLAGSTAR CAPITAL MARKETS CORPORATION,7.0,170000,360,79,79.0,2.0,56.0,670.0,N,P,CO,1,I,AZ,852,N,11,2007,1,2008
R,"CITIMORTGAGE, INC.",7.25,236000,360,80,80.0,1.0,43.0,698.0,N,C,SF,1,I,TX,790,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.25,185000,360,70,70.0,1.0,51.0,679.0,N,C,SF,1,P,CA,935,N,10,2007,12,2007
R,"GMAC MORTGAGE, LLC",6.75,182000,180,35,35.0,2.0,34.0,602.0,N,C,SF,1,P,CA,913,N,11,2007,1,2008
R,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",7.5,170000,360,87,87.0,2.0,52.0,728.0,N,R,CO,1,I,CA,922,N,12,2007,2,2008
C,FLAGSTAR CAPITAL MARKETS CORPORATION,7.125,151000,180,90,90.0,2.0,57.0,686.0,N,C,SF,1,P,IL,622,N,10,2007,12,2007
C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.625,95000,360,59,59.0,1.0,22.0,503.0,N,C,SF,1,I,MD,212,N,11,2007,1,2008
R,"GMAC MORTGAGE, LLC",5.875,72000,240,80,80.0,2.0,13.0,806.0,N,P,PU,1,P,SC,296,Y,9,2007,11,2007
C,"GMAC MORTGAGE, LLC",6.375,234000,360,80,80.0,1.0,56.0,675.0,N,R,SF,1,P,WA,984,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.375,232000,360,77,77.0,2.0,53.0,711.0,N,C,SF,1,P,MO,633,N,12,2007,2,2008
R,OTHER,6.125,198000,360,60,60.0,1.0,21.0,809.0,N,P,PU,1,P,AR,727,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",5.875,89000,180,38,38.0,2.0,14.0,803.0,N,R,SF,1,P,MI,494,N,12,2007,2,2008
R,OTHER,6.5,205000,353,51,51.0,2.0,44.0,792.0,N,P,SF,1,P,OR,974,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.375,60000,360,49,49.0,1.0,37.0,672.0,N,C,SF,1,P,AZ,857,N,10,2007,12,2007
R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.25,362000,360,76,76.0,2.0,16.0,739.0,N,R,CO,1,P,NJ,78,N,10,2007,12,2007
C,SUNTRUST MORTGAGE INC.,7.25,36000,360,80,80.0,1.0,43.0,629.0,N,C,SF,1,P,IA,528,N,10,2007,12,2007
R,"CITIMORTGAGE, INC.",6.375,217000,360,71,71.0,1.0,38.0,690.0,N,C,SF,2,P,NJ,71,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",7.25,113000,360,90,90.0,2.0,39.0,721.0,N,P,SF,2,I,UT,844,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.99,96000,360,47,47.0,1.0,18.0,690.0,N,C,SF,1,P,AZ,850,N,9,2007,11,2007
R,OTHER,6.75,160000,360,23,23.0,2.0,29.0,782.0,N,P,SF,1,P,NJ,77,N,9,2007,11,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,98000,360,76,80.0,2.0,37.0,681.0,N,P,SF,1,P,NY,146,N,10,2007,12,2007
B,SUNTRUST MORTGAGE INC.,6.5,165000,360,69,69.0,1.0,62.0,701.0,N,C,SF,1,I,CA,958,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.875,228000,180,90,90.0,1.0,45.0,726.0,N,C,PU,1,P,CO,802,N,10,2007,11,2007
B,SUNTRUST MORTGAGE INC.,6.25,190000,360,55,66.0,1.0,44.0,748.0,N,C,SF,1,P,WA,982,N,11,2007,1,2008
R,OTHER,6.625,221000,360,90,90.0,1.0,47.0,768.0,N,P,SF,1,S,MI,494,N,11,2007,1,2008
R,"WELLS FARGO BANK, N.A.",6.125,100000,180,80,80.0,2.0,26.0,803.0,N,P,SF,1,I,SC,294,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.25,240000,360,73,73.0,2.0,54.0,583.0,N,C,SF,1,P,MA,27,N,10,2007,12,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.375,155000,360,77,77.0,1.0,45.0,663.0,N,C,SF,1,P,LA,707,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.25,133000,180,54,54.0,1.0,34.0,740.0,N,R,SF,1,P,SC,295,N,7,2007,9,2007
R,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.75,257000,360,95,95.0,2.0,41.0,625.0,Y,P,SF,1,P,MA,10,N,10,2007,12,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,82000,360,89,89.0,1.0,43.0,748.0,N,P,SF,1,P,OH,444,N,9,2007,11,2007
R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.625,250000,360,28,28.0,1.0,25.0,802.0,N,P,PU,1,S,CA,940,N,9,2007,11,2007
R,SUNTRUST MORTGAGE INC.,6.25,113000,360,80,80.0,2.0,29.0,788.0,N,C,SF,1,P,TN,374,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.875,155000,360,89,89.0,1.0,46.0,675.0,N,P,PU,1,P,AZ,852,N,7,2007,9,2007
B,"CITIMORTGAGE, INC.",7.25,154000,360,75,75.0,1.0,37.0,761.0,N,C,SF,1,P,AZ,850,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.375,290000,360,95,95.0,1.0,42.0,789.0,Y,P,CO,1,P,MD,211,N,12,2007,2,2008
R,"PNC BANK, N.A.",6.5,280000,360,88,88.0,2.0,50.0,694.0,N,C,PU,1,P,WA,985,N,10,2007,1,2008
B,OTHER,6.5,322000,360,70,90.0,2.0,16.0,798.0,N,C,PU,1,P,CA,917,N,9,2007,11,2007
R,"PNC BANK, N.A.",6.625,182000,360,70,70.0,1.0,6.0,804.0,N,P,CO,1,P,PA,191,N,7,2007,9,2007
B,"WELLS FARGO BANK, N.A.",5.875,235000,360,59,59.0,1.0,63.0,784.0,N,C,SF,1,P,CA,939,N,9,2007,11,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,339000,360,76,76.0,2.0,53.0,616.0,N,C,SF,1,P,FL,331,N,9,2007,11,2007
C,FLAGSTAR CAPITAL MARKETS CORPORATION,7.0,194000,360,67,67.0,2.0,28.0,770.0,N,P,PU,1,I,AZ,850,N,8,2007,10,2007
R,OTHER,6.5,133000,360,59,59.0,1.0,38.0,584.0,N,P,CO,1,P,MI,493,N,11,2007,1,2008
R,"BANK OF AMERICA, N.A.",6.875,181000,360,95,95.0,2.0,40.0,609.0,N,P,PU,1,P,FL,338,N,11,2007,1,2008
B,FLAGSTAR CAPITAL MARKETS CORPORATION,6.75,224000,360,80,80.0,2.0,40.0,634.0,N,C,SF,1,I,CA,955,N,11,2007,2,2008
C,"GMAC MORTGAGE, LLC",6.25,288000,360,80,80.0,2.0,48.0,702.0,N,P,SF,1,P,WA,982,N,6,2007,8,2007
C,OTHER,6.5,238000,360,95,95.0,1.0,34.0,725.0,Y,P,SF,1,P,FL,321,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.5,317000,360,89,89.0,2.0,26.0,682.0,N,R,SF,2,P,MO,641,N,9,2007,11,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,100000,360,21,21.0,1.0,38.670606328740575,790.0,N,P,SF,1,P,VA,201,N,10,2007,12,2007
B,SUNTRUST MORTGAGE INC.,6.375,410000,360,70,90.0,1.0,31.0,722.0,N,C,SF,1,P,NM,871,N,10,2007,12,2007
B,FLAGSTAR CAPITAL MARKETS CORPORATION,6.5,35000,360,95,95.0,1.0,62.0,622.0,N,P,SF,1,P,IN,468,N,11,2007,1,2008
R,OTHER,6.25,228000,360,80,80.0,1.0,38.670606328740575,581.0,N,C,SF,1,P,NJ,88,N,3,2007,5,2007
C,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",7.375,407000,328,64,64.0,1.0,20.0,662.0,N,P,SF,4,I,NY,112,N,6,2007,9,2007
C,"WELLS FARGO BANK, N.A.",6.5,185000,360,64,64.0,1.0,33.0,721.0,N,C,SF,1,P,MO,652,N,8,2007,10,2007
R,OTHER,6.375,350000,360,49,49.0,2.0,34.0,807.0,N,C,SF,1,P,MA,27,N,11,2007,2,2008
R,OTHER,6.5,141000,360,95,95.0,2.0,46.0,741.0,N,P,SF,1,P,NY,148,N,11,2007,1,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5.75,387000,180,80,80.0,1.0,38.670606328740575,822.0,N,P,PU,1,P,VA,220,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.25,99000,360,68,68.0,3.0,27.0,673.0,N,R,SF,1,P,MO,648,N,10,2007,1,2008
R,"PNC BANK, N.A.",6.375,271000,360,93,93.0,1.0,64.0,717.0,Y,P,SF,1,P,WA,992,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.25,355000,360,85,85.0,1.0,33.0,749.0,N,R,SF,1,P,IL,600,N,12,2007,2,2008
R,SUNTRUST MORTGAGE INC.,6.5,120000,360,86,86.0,2.0,29.0,742.0,N,C,SF,1,P,GA,300,N,9,2007,11,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.0,260000,360,72,72.0,1.0,38.0,808.0,N,C,SF,1,P,WA,981,N,6,2007,8,2007
R,SUNTRUST MORTGAGE INC.,6.75,228000,357,54,54.0,2.0,27.0,792.0,N,C,SF,1,P,VA,241,N,9,2007,11,2007
R,OTHER,6.375,45000,360,56,56.0,1.0,50.0,733.0,N,C,SF,1,P,LA,705,N,11,2007,1,2008
R,OTHER,6.75,115000,240,56,56.0,2.0,55.0,673.0,N,C,SF,1,P,PA,191,N,9,2007,11,2007
C,OTHER,6.25,214000,360,90,90.0,2.0,32.0,758.0,N,P,SF,1,P,IL,617,N,9,2007,11,2007
B,"CITIMORTGAGE, INC.",6.375,308000,360,74,74.0,1.0,43.0,743.0,N,C,SF,1,P,MA,23,N,12,2007,2,2008
C,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.875,481000,360,40,40.0,1.0,20.0,806.0,N,C,SF,2,I,CA,900,N,9,2007,11,2007
R,OTHER,6.625,90000,360,22,27.0,1.0,53.0,723.0,N,C,SF,1,P,MA,19,N,10,2007,12,2007
R,"CITIMORTGAGE, INC.",5.875,92000,360,50,50.0,1.0,22.0,705.0,N,C,CO,1,P,MD,210,N,5,2007,7,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.75,190000,360,76,76.0,1.0,40.0,751.0,N,C,SF,1,P,WA,988,N,9,2007,11,2007
R,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.375,331000,360,67,67.0,1.0,32.0,764.0,N,C,SF,1,P,CA,921,N,8,2007,10,2007
R,"BANK OF AMERICA, N.A.",6.875,166000,360,95,95.0,1.0,40.0,744.0,N,P,SF,1,P,CO,805,N,11,2007,1,2008
R,"CITIMORTGAGE, INC.",5.75,145000,120,74,74.0,2.0,58.0,720.0,Y,P,SF,1,P,NY,140,N,10,2007,12,2007
B,"BANK OF AMERICA, N.A.",6.625,131000,360,80,80.0,2.0,46.0,648.0,N,C,SF,1,P,WA,985,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",6.75,120000,360,71,71.0,2.0,41.0,776.0,N,P,SF,1,P,TX,765,N,7,2007,9,2007
C,OTHER,6.25,352000,360,80,90.0,2.0,43.0,777.0,N,P,SF,1,P,WI,535,N,11,2007,1,2008
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,202000,360,73,84.0,2.0,23.0,792.0,N,C,SF,1,P,MI,481,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.875,123000,360,77,77.0,2.0,39.0,774.0,N,C,SF,1,P,UT,840,N,9,2007,11,2007
R,"GMAC MORTGAGE, LLC",6.75,140000,360,70,70.0,1.0,42.0,588.0,N,C,SF,1,P,FL,344,N,11,2007,1,2008
C,OTHER,6.375,174000,360,80,80.0,2.0,32.0,754.0,N,P,SF,1,P,IL,617,N,9,2007,11,2007
R,"GMAC MORTGAGE, LLC",6.5,310000,360,41,48.0,1.0,52.0,787.0,N,R,PU,1,P,NJ,79,N,8,2007,11,2007
R,"PNC BANK, N.A.",6.875,50000,360,90,90.0,2.0,59.0,707.0,N,P,SF,1,I,OH,432,N,8,2007,10,2007
R,OTHER,6.75,66000,360,80,80.0,1.0,25.0,685.0,N,P,SF,1,P,IA,520,N,9,2007,11,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,328000,360,80,80.0,1.0,43.0,801.0,N,P,PU,1,P,MD,210,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.75,180000,360,80,80.0,1.0,48.0,617.0,N,C,SF,1,P,FL,337,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.75,62000,180,80,80.0,2.0,28.0,797.0,N,C,SF,1,I,TN,370,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.375,400000,360,51,51.0,1.0,49.0,734.0,N,C,SF,1,P,HI,967,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",6.99,155000,360,89,89.0,1.0,31.0,674.0,N,C,SF,1,P,WA,992,N,8,2007,11,2007
C,"CITIMORTGAGE, INC.",6.0,188000,360,80,80.0,2.0,18.0,714.0,N,C,CO,1,P,AZ,852,N,11,2007,1,2008
R,OTHER,6.75,225000,360,60,60.0,1.0,31.0,808.0,N,P,SF,1,P,CT,66,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.25,287000,360,56,56.0,2.0,33.0,699.0,N,C,SF,1,P,CA,910,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.875,130000,360,56,56.0,1.0,54.0,668.0,N,C,SF,1,P,FL,334,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.375,325000,360,91,91.0,2.0,40.0,699.0,N,R,SF,1,P,FL,320,N,10,2007,12,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",7.5,70000,360,90,90.0,2.0,51.0,638.0,N,P,SF,1,I,TX,787,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.5,204000,360,33,33.0,2.0,46.0,659.0,N,C,SF,1,P,FL,321,N,8,2007,10,2007
R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.875,405000,360,90,90.0,2.0,33.0,635.0,N,R,SF,1,P,MA,14,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.5,114000,360,80,80.0,1.0,24.0,633.0,N,C,SF,1,P,GA,300,N,12,2007,2,2008
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",7.0,65000,360,61,61.0,1.0,62.0,780.0,N,C,SF,1,I,TX,751,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",7.25,240000,360,80,80.0,2.0,47.0,791.0,N,P,SF,1,I,CA,936,N,8,2007,10,2007
B,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.75,225000,360,64,64.0,1.0,36.0,649.0,N,C,SF,1,P,NY,125,N,9,2007,11,2007
R,OTHER,6.0,67000,120,33,33.0,2.0,23.0,784.0,N,P,SF,1,P,MO,651,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.625,112000,360,74,74.0,1.0,41.0,669.0,N,C,SF,1,P,NY,123,N,8,2007,10,2007
R,OTHER,6.5,79000,360,88,88.0,1.0,28.0,698.0,N,R,SF,1,P,IL,627,N,10,2007,12,2007
C,"GMAC MORTGAGE, LLC",6.25,92000,360,80,80.0,1.0,48.0,711.0,Y,P,SF,1,P,PA,169,N,10,2007,12,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.375,149000,360,90,90.0,2.0,57.0,674.0,N,C,SF,1,P,IN,460,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.375,99000,360,86,86.0,2.0,52.0,665.0,N,R,SF,1,P,TX,765,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.375,178000,360,80,80.0,1.0,40.0,779.0,Y,P,CO,1,P,NY,103,N,6,2007,8,2007
R,"BANK OF AMERICA, N.A.",6.0,212000,360,63,63.0,1.0,43.0,661.0,N,C,SF,1,P,CA,900,N,12,2007,2,2008
R,"GMAC MORTGAGE, LLC",6.5,117000,360,69,69.0,1.0,54.0,674.0,N,C,SF,1,P,FL,323,N,11,2007,1,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,160000,360,30,30.0,1.0,22.0,781.0,N,P,PU,1,P,GA,300,N,8,2007,10,2007
B,SUNTRUST MORTGAGE INC.,6.5,243000,360,40,40.0,2.0,38.670606328740575,658.0,N,C,SF,1,P,AZ,853,N,9,2007,11,2007
B,"GMAC MORTGAGE, LLC",6.125,300000,360,43,43.0,2.0,29.0,801.0,N,P,SF,1,P,CA,936,N,10,2007,12,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.125,242000,360,80,80.0,1.0,33.0,797.0,N,R,CO,1,P,NY,117,N,9,2007,11,2007
B,"BANK OF AMERICA, N.A.",6.25,100000,360,69,69.0,1.0,37.0,703.0,N,C,SF,1,P,MN,550,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.375,302000,360,80,80.0,1.0,36.0,590.0,Y,P,PU,1,P,IL,606,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.5,175000,360,64,64.0,2.0,43.0,633.0,N,C,SF,1,P,WA,982,N,6,2007,8,2007
